tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2437,Brisbane,Hard,,A,20240101,11929235,47975,,,Yannick Hanfmann,R,193,DEU,32,195840,5,,Sebastian Korda,R,196,USA,24,7-5(2) 6-4 0-0,3,R32,47,4,0,65,50,35,9,11,3,4,12,3,72,40,29,14,11,3,6,110,,21,
2437,Brisbane,Hard,,A,20240101,11931008,163636,,Q,Lukas Klein,R,193,SVK,26,221806,6,,Sebastian Baez,R,170,ARG,23,4-6 6-3 6-4,3,R32,45,9,2,83,51,38,18,15,3,5,3,2,115,92,53,14,14,11,14,128,,18,
2437,Brisbane,Hard,,A,20240101,11931014,127208,,,Daniel Altmaier,R,188,DEU,25,49417,,Q,Li Li,R,183,AUS,28,7-6(2) 7-6(2) 0-0,3,R32,3482,7,1,80,54,41,17,12,0,0,3,2,84,47,38,22,14,2,2,80,,210,
2437,Brisbane,Hard,,A,20240101,11931013,238300,,Q,Tomas Machac,R,183,CZE,23,169496,7,,Martin Etcheverry,R,196,ARG,24,6-7 7-5(2) 7-6(2),3,R32,3342,5,1,111,70,57,21,19,4,6,6,2,116,82,59,17,19,5,8,39,,31,
2437,Brisbane,Hard,,A,20240101,11929239,39726,,WC,Jason Kubler,R,178,AUS,31,60502,8,,Aslan Karatsev,R,185,RUS,30,6-4 6-7 0-0,3,R32,3291,5,1,76,49,31,13,12,6,9,2,6,70,39,29,14,11,4,8,462,,99,
2437,Brisbane,Hard,,A,20240101,11931010,14486,,WC,Rafael Nadal,L,185,ESP,38,43748,,Q,Dominic Thiem,R,185,AUT,30,7-5(2) 6-1 0-0,3,R32,31,3,1,46,31,28,12,10,0,0,3,3,54,34,23,10,9,3,6,265,,134,
2437,Brisbane,Hard,,A,20240101,11931006,39711,,Q,James Duckworth,R,183,AUS,32,210479,,,John Wolf,R,183,USA,25,6-3 6-4 0-0,3,R32,38,7,0,52,36,31,11,10,1,1,7,1,44,32,27,4,9,2,4,81,,115,
2437,Brisbane,Hard,,A,20240101,11929240,87690,,,Jordan Thompson,R,183,AUS,30,124656,,,Aleksandar Vukic,R,188,AUS,28,6-3 6-2 0-0,3,R32,35,7,1,46,28,23,11,9,0,1,3,0,54,32,18,10,8,4,8,40,,69,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11929353,83397,,,Sebastian Ofner,R,191,AUT,28,63438,,,Mackenzie McDonald,R,178,USA,29,6-1 6-2 0-0,3,R32,85,6,2,44,27,20,8,8,0,1,0,3,46,30,17,4,7,2,7,45,,96,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11929354,46391,5,,Lennard Struff,R,193,DEU,34,15387,,,Marin Cilic,R,198,HRV,35,3-6 7-6(2) 7-6(2),3,R32,3370,11,4,124,69,49,26,16,6,10,20,12,130,64,49,31,19,7,10,41,,1078,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11933403,145112,,Q,Andrea Husler,L,196,CHE,28,100069,,Q,Vitaliy Sachko,R,188,UKR,26,6-4 6-4 0-0,3,R32,49,10,1,61,39,28,15,10,4,4,3,2,54,36,28,9,10,1,3,229,,281,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11929352,16720,,,Roberto Bautista Agut,R,183,ESP,36,218259,,,Fabian Marozsan,R,193,HUN,24,6-2 6-3 0-0,3,R32,35,3,0,56,38,27,12,9,5,6,7,4,44,30,21,2,8,2,6,112,,43,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11929351,261015,6,,Lorenzo Musetti,R,185,ITA,22,289106,,WC,Coleman Wong,U,191,HKG,20,6-4 7-5(2) 0-0,3,R32,62,4,2,63,42,32,13,11,2,3,6,4,80,46,32,16,11,5,8,25,,179,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11933402,47764,,Q,Liam Broady,L,183,GBR,30,73987,,,Pedro Cachin,R,185,ARG,29,6-4 6-0 0-0,3,R32,29,2,2,46,29,21,11,8,2,3,1,1,42,30,13,5,8,2,7,156,,117,
2437,Brisbane,Hard,,A,20240101,11929241,237452,,WC,Rinky Hijikata,R,178,AUS,23,71280,,,Thanasi Kokkinakis,R,193,AUS,28,7-6(2) 6-2 0-0,3,R32,3062,4,1,67,39,33,16,10,2,2,16,1,62,47,36,6,11,2,4,77,,93,
2437,Brisbane,Hard,,A,20240102,11925845,124930,,,Roman Safiullin,R,185,RUS,26,128552,,,Alexei Popyrin,R,196,AUS,24,6-7 6-4 7-6(2),3,R16,2153,23,5,123,78,62,27,19,13,14,13,6,112,79,64,15,17,7,9,44,,47,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240102,11926067,101101,3,,Frances Tiafoe,R,188,USA,26,198592,,,Miomir Kecmanovic,R,183,SRB,24,6-3 7-6(2) 0-0,3,R16,1899,8,1,69,42,37,14,12,3,3,3,1,70,39,28,18,10,2,3,29,,52,
2437,Brisbane,Hard,,A,20240102,11925857,283070,1,,Holger Rune,R,188,DNK,21,264344,,,Alexander Shevchenko,R,185,KAZ,23,6-4 5-7 6-2,3,R16,36,12,2,91,57,43,22,15,5,6,5,2,108,62,45,23,15,7,10,15,,57,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240102,11926070,348853,,WC,Juncheng Shang,L,180,CHN,19,102339,,,Botic Van De Zandschulp,R,191,NLD,28,6-7 7-6(2) 7-6(2),3,R16,2049,2,6,129,69,50,32,20,5,8,13,1,116,73,50,25,19,4,7,91,,97,
2437,Brisbane,Hard,,A,20240102,11925853,299538,,,Matteo Arnaldi,R,185,ITA,23,163636,,Q,Lukas Klein,R,193,SVK,26,6-4 3-6 7-5(2),3,R16,48,9,3,80,44,37,21,15,2,4,5,3,87,49,41,18,16,2,5,35,,128,
2437,Brisbane,Hard,,A,20240102,11925858,39711,,Q,James Duckworth,R,183,AUS,32,47975,,,Yannick Hanfmann,R,193,DEU,32,4-6 6-1 7-6(2),3,R16,2297,22,4,91,66,52,13,15,2,3,15,4,97,56,43,20,15,10,12,81,,110,
2437,Brisbane,Hard,,A,20240102,11931011,185388,4,,Ugo Humbert,L,188,FRA,26,406728,,Q,Alex Michelsen,U,193,USA,19,6-4 6-4 0-0,3,R32,41,4,1,53,29,24,19,10,2,2,5,5,72,38,24,18,10,8,10,16,,55,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240102,11926069,167370,,,Emil Ruusuvuori,R,188,FIN,25,90080,2,,Karen Khachanov,R,198,RUS,28,7-6(2) 2-6 6-2,3,R16,1708,5,3,96,58,41,20,15,5,8,10,0,99,55,37,22,14,5,8,87,,22,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240103,11926066,106755,1,,Andrey Rublev,R,188,RUS,26,47764,,Q,Liam Broady,L,183,GBR,30,6-4 7-6(2) 0-0,3,R16,299,10,3,69,38,31,18,11,1,3,4,2,91,63,43,10,12,7,10,6,,156,
2437,Brisbane,Hard,,A,20240103,11925846,237452,,WC,Rinky Hijikata,R,178,AUS,23,238300,,Q,Tomas Machac,R,183,CZE,23,5-7 6-2 7-6(2),3,R16,828,11,4,104,64,44,23,17,10,13,6,2,89,61,45,12,16,1,5,77,,39,
2437,Brisbane,Hard,,A,20240103,11925848,23581,2,,Grigor Dimitrov,R,191,BGR,33,127208,,,Daniel Altmaier,R,188,DEU,25,6-1 6-2 0-0,3,R16,42,6,1,41,26,24,10,8,3,3,3,3,49,28,17,6,7,2,6,10,,80,
2437,Brisbane,Hard,,A,20240103,11925852,14486,,WC,Rafael Nadal,L,185,ESP,38,39726,,WC,Jason Kubler,R,178,AUS,31,6-1 6-2 0-0,3,R16,37,4,3,46,30,24,10,8,4,4,1,3,46,35,20,2,7,2,6,265,,462,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240103,11926062,203258,,,Pavel Kotov,R,191,RUS,25,261015,6,,Lorenzo Musetti,R,185,ITA,22,6-4 6-3 0-0,3,R16,58,2,4,71,48,38,8,9,4,4,1,0,59,43,29,7,10,1,4,53,,25,
