tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,winner_odds,loser_odds,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11933401.0,3,R32,72.0,198592.0,,,Miomir Kecmanovic,R,183.0,SRB,24.0,48632.0,,Q,Taro Daniel,R,191.0,JPN,31,1.57,2.38,,6.0,6.0,0.0,0.0,0.0,5.0,1.0,46.0,32.0,25.0,10.0,9,1,2,3.0,2.0,0.0,0.0,0.0,2.0,1.0,59.0,39.0,24.0,6.0,8,1,5,52.0,84
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11933402.0,3,R32,74.0,47764.0,,Q,Liam Broady,L,183.0,GBR,30.0,73987.0,,,Pedro Cachin,R,185.0,ARG,29,1.36,3.2,,6.0,6.0,0.0,0.0,0.0,2.0,2.0,46.0,29.0,21.0,11.0,8,2,3,4.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,30.0,13.0,5.0,8,2,7,156.0,117
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11929241.0,3,R32,94.0,237452.0,,WC,Rinky Hijikata,R,178.0,AUS,23.0,71280.0,,,Thanasi Kokkinakis,R,193.0,AUS,28,2.63,1.5,,7.0,6.0,0.0,0.0,0.0,4.0,1.0,67.0,39.0,33.0,16.0,10,2,2,6.0,2.0,0.0,0.0,0.0,16.0,1.0,62.0,47.0,36.0,6.0,11,2,4,77.0,93
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11931010.0,3,R32,87.0,14486.0,,WC,Rafael Nadal,L,185.0,ESP,38.0,43748.0,,Q,Dominic Thiem,R,185.0,AUT,30,1.62,2.3,,7.0,6.0,0.0,0.0,0.0,3.0,1.0,46.0,31.0,28.0,12.0,10,0,0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,54.0,34.0,23.0,10.0,9,3,6,265.0,134
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11929239.0,,R32,223.0,39726.0,,WC,Jason Kubler,R,178.0,AUS,31.0,60502.0,8,,Aslan Karatsev,R,185.0,RUS,30,2.75,1.44,,6.0,6.0,0.0,0.0,0.0,5.0,1.0,76.0,49.0,31.0,13.0,12,6,9,4.0,7.0,0.0,0.0,0.0,2.0,6.0,70.0,39.0,29.0,14.0,11,4,8,462.0,99
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11929240.0,3,R32,115.0,87690.0,,,Jordan Thompson,R,183.0,AUS,30.0,124656.0,,,Aleksandar Vukic,R,188.0,AUS,28,1.57,2.38,,6.0,6.0,0.0,0.0,0.0,7.0,1.0,46.0,28.0,23.0,11.0,9,0,1,3.0,2.0,0.0,0.0,0.0,3.0,0.0,54.0,32.0,18.0,10.0,8,4,8,40.0,69
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11931013.0,3,R32,193.0,238300.0,,Q,Tomas Machac,R,183.0,CZE,23.0,169496.0,7,,Tomas Martin Etcheverry,R,196.0,ARG,25,1.36,3.2,,6.0,7.0,7.0,0.0,0.0,5.0,1.0,111.0,70.0,57.0,21.0,19,4,6,7.0,5.0,6.0,0.0,0.0,6.0,2.0,116.0,82.0,59.0,17.0,19,5,8,39.0,31
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11929354.0,3,R32,187.0,46391.0,5,,Jan Lennard Struff,R,193.0,DEU,34.0,15387.0,,,Marin Cilic,R,198.0,HRV,35,1.53,2.5,,3.0,7.0,7.0,0.0,0.0,11.0,4.0,124.0,69.0,49.0,26.0,16,6,10,6.0,6.0,6.0,0.0,0.0,20.0,12.0,130.0,64.0,49.0,31.0,19,7,10,41.0,1078
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11931006.0,3,R32,64.0,39711.0,,Q,James Duckworth,R,183.0,AUS,32.0,210479.0,,,Jeffrey John Wolf,R,183.0,USA,25,2.1,1.73,,6.0,6.0,0.0,0.0,0.0,7.0,0.0,52.0,36.0,31.0,11.0,10,1,1,3.0,4.0,0.0,0.0,0.0,7.0,1.0,44.0,32.0,27.0,4.0,9,2,4,81.0,115
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11931014.0,3,R32,121.0,127208.0,,,Daniel Altmaier,R,188.0,DEU,25.0,49417.0,,Q,Tu  Li,R,183.0,AUS,28,1.57,2.38,,7.0,7.0,0.0,0.0,0.0,7.0,1.0,80.0,54.0,41.0,17.0,12,0,0,6.0,6.0,0.0,0.0,0.0,3.0,2.0,84.0,47.0,38.0,22.0,14,2,2,80.0,210
