Player,Matches,Win Rate,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
Albert Portas,337,0.41543026706231456,0.14196444287977467,0.20833333333333334,0.47368421052631576,0.21428571428571427
Paul Goldstein,194,0.4175257731958763,0.0069852941176470895,0.4084507042253521,0.4,0.5
Hicham Arazi,431,0.4988399071925754,-0.0791537667698658,0.48148148148148145,0.5141242937853108,0.5142857142857142
Oliver Gross,123,0.3983739837398374,0,0.3448275862068966,0.4431818181818182,0.0
Nicolas Lapentti,601,0.519134775374376,0.057054108216432864,0.484304932735426,0.5641025641025641,0.3793103448275862
Alejandro Hernandez,76,0.4868421052631579,0,0.4642857142857143,0.5384615384615384,0.0
Ramon Delgado,213,0.4835680751173709,0,0.41739130434782606,0.6172839506172839,0.18181818181818182
Jerome Golmard,264,0.5303030303030303,-0.12485248996931786,0.5899280575539568,0.4507042253521127,0.5
Tim Henman,761,0.6425755584756899,-0.10833333333333328,0.6498800959232613,0.5299145299145299,0.711864406779661
Sjeng Schalken,550,0.5272727272727272,-0.04338786947482598,0.5338078291814946,0.4666666666666667,0.6133333333333333
Steve Campbell,84,0.36904761904761907,0,0.35294117647058826,0.45,0.375
Alex Lopez Moron,53,0.32075471698113206,0,0.0,0.3541666666666667,0.0
Mark Philippoussis,510,0.6078431372549019,0.06327096327096327,0.6075085324232082,0.5494505494505495,0.6986301369863014
Hernan Gumy,236,0.4703389830508475,0.2907579226412821,0.390625,0.5149700598802395,0.0
Adrian Voinea,299,0.43478260869565216,0.1329947059665188,0.4230769230769231,0.4689655172413793,0.29411764705882354
Gaston Etlis,83,0.3373493975903614,0,0.42857142857142855,0.28,0.0
Franco Squillari,311,0.4855305466237942,-0.07836687306501555,0.3582089552238806,0.5411255411255411,0.14285714285714285
Lars Burgsmuller,237,0.37130801687763715,-0.08474082702387886,0.3875968992248062,0.3225806451612903,0.32
Christian Vinck,65,0.26153846153846155,0,0.27586206896551724,0.21052631578947367,0.38461538461538464
Davide Sanguinetti,402,0.4154228855721393,0.09073543457497613,0.44886363636363635,0.375886524822695,0.4222222222222222
Jens Knippschild,113,0.4247787610619469,0,0.35714285714285715,0.40350877192982454,0.5454545454545454
Markus Hipfl,139,0.460431654676259,0,0.32,0.5188679245283019,0.2
Stefan Koubek,460,0.4543478260869565,-0.023678311227349147,0.4474885844748858,0.4918032786885246,0.2692307692307692
Alex Calatrava,169,0.3727810650887574,0,0.4117647058823529,0.37962962962962965,0.14285714285714285
Oleg Ogorodov,111,0.46846846846846846,0,0.4918032786885246,0.5,0.4
Felix Mantilla,518,0.584942084942085,-0.017218543046357615,0.49624060150375937,0.6504297994269341,0.3076923076923077
Galo Blanco,280,0.4142857142857143,0.07732312825041704,0.18604651162790697,0.47345132743362833,0.14285714285714285
Jacobo Diaz,87,0.3103448275862069,0,0.14285714285714285,0.375,0.0
Nicolas Kiefer,618,0.5857605177993528,-0.07585470085470092,0.6222222222222222,0.4789915966386555,0.6142857142857143
Martin Rodriguez,55,0.2727272727272727,0,0.14285714285714285,0.325,0.0
Jan Kroslak,168,0.44642857142857145,0,0.47435897435897434,0.3448275862068966,0.3076923076923077
Hyung Taik Lee,320,0.49375,0.006212744521870539,0.47549019607843135,0.5,0.5135135135135135
Takao Suzuki,95,0.5263157894736842,0,0.48484848484848486,0.6,0.16666666666666666
Scott Draper,233,0.45064377682403434,0.07029478458049887,0.47368421052631576,0.34146341463414637,0.4772727272727273
Vladimir Voltchkov,156,0.44871794871794873,0,0.4444444444444444,0.19047619047619047,0.45454545454545453
Andrew Ilie,200,0.435,0,0.38613861386138615,0.5384615384615384,0.3333333333333333
Carlos Moya,880,0.6431818181818182,0.038961038961038974,0.6011560693641619,0.701271186440678,0.4642857142857143
Max Mirnyi,474,0.48945147679324896,-0.1115081013710012,0.496,0.40594059405940597,0.5185185185185185
Mariano Zabaleta,402,0.4975124378109453,-0.0713636363636364,0.3923076923076923,0.5653846153846154,0.0
Jiri Vanek,186,0.3548387096774194,0,0.3050847457627119,0.4144144144144144,0.125
Justin Gimelstob,272,0.38235294117647056,-0.026477541371158375,0.384180790960452,0.32,0.4067796610169492
