Player,Date,Number,Matches,Wins,Elo,Lefty Elo,Righty Elo,Hard Elo,Clay Elo,Grass Elo
Dick Stockton,1984-08-28,218,199,0,1391.8950324934815,1250,1250,1234.5529671234685,1380.5555857876225,1275.0311660093591
John Alexander,1985-12-09,6,388,0,1364.3199506781284,1250,1250,1354.4653234637797,1481.8430768847825,1276.7349507012118
Nick Saviano,1984-02-13,1,292,0,1421.7926201927032,1250,1250,1350.293160306088,1271.5212153920943,1268.1201780928802
Frew Mcmillan,1983-07-25,254,49,0,1083.3722007562985,1250,1250,1118.825256347278,1159.6575678524246,1282.7678969186193
Wojtek Fibak,1988-02-08,18,549,0,1465.0907041786677,1250,1250,1384.8960137405113,1461.2388853077412,1355.8477370498279
Ilie Nastase,1988-06-06,272,321,0,1351.6881572443156,1250,1250,1294.5965854212418,1348.1796045564818,1270.7108226095695
Peter Fleming,1987-11-10,2,336,0,1466.4969078551499,1250,1250,1318.886790557058,1246.1857944822048,1237.3661775648643
Sandy Mayer,1985-09-09,281,319,0,1616.2700577935395,1250,1250,1562.7174345605117,1473.4335369622647,1415.5761954130198
Cliff Drysdale,1980-06-23,261,47,0,1300.640506868849,1250,1250,1241.8347906785352,1237.0890627414594,1228.0449601671164
Sashi Menon,1985-10-14,1,180,0,1225.7805351001803,1250,1250,1163.1559867434673,1234.7649684445305,1187.1051441587936
Jimmy Connors,1996-04-29,16,917,0,1689.1053959270582,1250,1250,1645.4816562386773,1641.1557628756248,1593.0247860282773
Geoff Masters,1981-01-05,4,127,0,1206.5918825551862,1250,1250,1245.400074990772,1323.9158502371833,1198.874970335292
Phil Dent,1983-11-29,248,247,0,1399.252456830915,1250,1250,1270.949739941285,1381.2204993248813,1448.0837736765945
Kim Warwick,1988-04-11,30,257,0,1450.0753957164989,1250,1250,1335.0765354206258,1386.2625286269715,1408.8883077049636
George Hardie,1982-07-26,271,156,0,1232.755861755385,1250,1250,1225.8749997704213,1241.9324518199282,1169.7390311799584
Tom Gorman,1980-10-13,4,102,0,1313.7171956433115,1250,1250,1333.7745518159286,1276.5673296518223,1234.3065337354878
Ross Case,1984-05-14,280,171,0,1289.3068979245863,1250,1250,1227.430519573774,1324.4030417291688,1243.8670836827105
Erik Van Dillen,1982-04-25,15,122,0,1334.0174448036591,1250,1250,1332.3314463384093,1190.9424448505383,1261.7680534918084
Sherwood Stewart,1985-11-18,9,131,0,1308.5061382981812,1250,1250,1228.64932054895,1259.3944659509548,1302.4900974449192
Antonio Zugarelli,1983-06-13,274,106,0,1220.730338851446,1250,1250,1123.5108959229037,1247.1627177957332,1222.6424826981156
Dick Crealy,1981-01-05,18,73,0,1141.2489213497227,1250,1250,1213.4984176873306,1093.6776232857421,1169.4859441054944
Rick Fagel,1984-04-16,297,161,0,1309.606305426257,1250,1250,1240.6916661405107,1332.839873582262,1165.6236365808375
Buster C Mottram,1983-09-30,2,250,0,1525.9584466826516,1250,1250,1397.0030139932683,1500.440497452723,1363.1317676258532
John James,1985-07-01,275,149,0,1283.7816312281477,1250,1250,1183.173809569099,1216.9119006694996,1330.553929078977
Cliff Richey,1979-01-15,13,26,0,1217.530259300557,1250,1250,1324.7416579732444,1175.770830800466,1250.0
Manuel Orantes,1984-07-23,14,267,0,1483.2073346106815,1250,1250,1221.8542318342666,1465.5393010076966,1222.6778746749942
Tim Gullikson,1986-08-26,222,384,0,1477.5844008189606,1250,1250,1334.472402739712,1330.424534338454,1388.9855248024326
Balazs Taroczy,1988-08-15,272,456,0,1535.9502430366315,1250,1250,1328.1706624569422,1554.1017585746993,1305.1214389305433
John McEnroe,1994-02-21,12,1031,0,1811.9305484583947,1250,1250,1726.6558700978962,1741.1000690491035,1654.1706371673913
Mark Cox,1981-10-26,1,96,0,1290.5215294683962,1250,1250,1331.7239110745704,1219.471690495318,1242.5738861442228
Raymond Moore,1983-05-02,286,167,0,1242.0344847789056,1250,1250,1318.989223392778,1176.3585214590714,1133.8992362508716
Tom Okker,1981-11-02,27,118,0,1351.5558360211699,1250,1250,1366.2608904481324,1253.234297668015,1407.620304058538
Marty Riessen,1981-02-23,285,111,0,1400.5233925745035,1250,1250,1265.604900583327,1327.2365739846032,1239.8832131126005
Van Winitsky,1985-07-01,290,234,0,1386.130615198445,1250,1250,1335.4239022895645,1384.744487215186,1122.375069217058
Harold Solomon,1991-03-15,1,461,0,1425.3660012717733,1250,1250,1380.5194656950753,1439.1107928465892,1241.1222588137302
Ken Rosewall,1980-10-20,18,53,0,1408.1901083422213,1250,1250,1319.8812665051707,1135.6743041532184,1340.4516577503525
Ove Bengtson,1978-11-06,288,29,0,1407.3058073551051,1250,1250,1364.8372767010783,1248.3851219387666,1219.043655073285
Bernard Mitton,1984-06-25,233,276,0,1409.188650915398,1250,1250,1273.388864372248,1280.9525596564035,1226.145192834724
Tomas Smid,1989-09-25,7,827,0,1485.9801384351567,1250,1250,1471.1070336396147,1490.731321846329,1302.3637135324652
Jiri Granat,1985-02-25,275,96,0,1207.4426318810279,1250,1250,1109.4109357012874,1227.3481787514336,1194.151216654188
Pat Dupre,1984-10-29,280,311,0,1380.5227232621403,1250,1250,1289.3707384825884,1431.8360792351982,1295.4772802624043
Rod Laver,1979-04-23,277,8,0,1299.4485621862718,1250,1250,1197.2627516603673,1250.0,1250.0
John Yuill,1983-04-04,254,80,0,1200.1905747515002,1250,1250,1179.4338471630774,1216.284026340853,1174.3014058236843
Jaime Fillol,2001-05-14,9,245,0,1411.5951200930556,1250,1250,1289.4916627173498,1406.5570164902792,1163.03269858818
Charlie Pasarell,1979-08-30,8,27,0,1142.1354268285447,1250,1250,1124.852855782722,1250.0,1190.1364071464222
Byron Bertram,1980-08-26,216,57,0,1233.6278860031525,1250,1250,1222.348796329687,1164.5465594991088,1177.2668479385945
Douglas Palm,1979-10-29,14,15,0,1119.065867204811,1250,1250,1212.935986200329,1119.7429977804384,1203.6468956109775
Christophe Roger-Vasselin,1984-07-30,276,49,0,1293.1642086248664,1250,1250,1207.6802306585523,1319.0443429946267,1144.8076359203144
Hubertus Hoyt,1981-06-30,269,37,0,1085.1473301519466,1250,1250,1205.4744203317805,1095.050927274587,1241.169168293042
Steve Docherty,1981-09-01,181,96,0,1296.654314366206,1250,1250,1258.1653049838674,1225.4471899475961,1199.3689106861689
Marcello Lara,1980-02-22,2,54,0,1362.2821910305336,1250,1250,1370.102232184501,1257.5025433618825,1342.709763386597
Peter Pearson,1985-04-29,242,27,0,1173.4380544948851,1250,1250,1241.7482494878932,1083.4055338953244,1214.862959852175
Paul Mcnamee,1988-01-11,20,433,0,1496.3649669813262,1250,1250,1345.6504917244606,1507.8829254862358,1412.5142435620564
Steve Krulevitz,1983-06-13,283,174,0,1245.0534249394277,1250,1250,1256.9851335919689,1278.6763679449164,1307.320517968085
Roger Taylor,1980-11-10,7,27,0,1156.8414134034713,1250,1250,1300.5438041738757,1210.8732452970082,1173.0640933891423
Woody Blocher,1979-11-19,277,20,0,1030.2388562504311,1250,1250,1046.2332150801176,1231.181491605386,1250.0786109317887
Anand Amritraj,1990-10-01,14,114,0,1192.5051562853816,1250,1250,1200.9989878829715,1188.7421686187831,1230.6918066491442
Colin Dowdeswell,1986-06-23,50,185,0,1331.44001741483,1250,1250,1356.3560416912442,1259.930816857789,1193.614215109007
Joe Meyers,1983-02-28,281,25,0,1282.834332240046,1250,1250,1196.5312885538458,1302.4796677433742,1253.3250003283083
Gene Mayer,2001-01-22,15,376,0,1664.154671566917,1250,1250,1599.5306694397364,1599.9622633910192,1368.894176479213
Rick Fisher,1981-01-19,12,75,0,1139.7128755462782,1250,1250,1209.3310385747122,1113.3424799644097,1152.3306762385469
Jose Higueras,1986-02-24,35,464,0,1601.1517373815677,1250,1250,1399.764223698662,1573.311012459835,1253.2773989774205
John Newcombe,1981-04-20,283,64,0,1407.52405633608,1250,1250,1309.118847489273,1217.3235527529455,1361.7557384124068
Corrado Barazzutti,1984-05-28,13,390,0,1518.7602641704618,1250,1250,1396.7898685633045,1498.9485504505712,1228.790373142333
Arthur Ashe,1979-07-23,16,134,0,1573.01824859078,1250,1250,1378.0522346753316,1443.3760000579377,1374.6656775643603
Victor Amaya,1983-10-31,282,247,0,1380.2842910376532,1250,1250,1361.0637122819967,1277.3858951835355,1331.45137551963
Jiri Hrebec,1982-02-15,267,97,0,1288.5740188006348,1250,1250,1108.672777410074,1342.642214590259,1151.6129220413977
Hank Pfister,1988-01-11,38,384,0,1509.7083881190388,1250,1250,1429.1783618120037,1267.4030219643578,1369.2428216100755
Mike Cahill,1983-08-01,7,181,0,1386.2222156236494,1250,1250,1347.1050314772444,1321.723857952394,1209.7980691650432
Tom Gullikson,1987-02-23,38,364,0,1511.6239246357661,1250,1250,1376.43881545791,1298.269626632752,1397.9648301047173
Colin Dibley,1981-08-10,16,144,0,1357.5776102898726,1250,1250,1263.3628348036261,1174.7299684394104,1350.3492257791547
Brian Teacher,1986-10-13,27,440,0,1502.3061835151652,1250,1250,1424.1223098680325,1448.4523803716586,1410.1641472684153
Stan Smith,1985-02-18,10,249,0,1419.2070027959433,1250,1250,1334.1273723026065,1295.6942214111232,1392.706692648453
Bob Lutz,1985-02-18,20,160,0,1487.8268398277328,1250,1250,1424.926521135805,1331.3984746711435,1227.6022057987338
Alvaro Fillol,1986-01-27,276,119,0,1266.7283030696592,1250,1250,1248.211720621783,1239.7702429530873,1185.8427910164319
Heinz Gunthardt,1987-10-05,1,443,0,1528.103197161747,1250,1250,1433.6674328741167,1503.6487637787363,1256.0219543044527
Jorge Andrew,1983-03-04,5,77,0,1111.6339645688322,1250,1250,1195.6982932044539,1064.8526706478415,1232.5354987704043
Jan Kodes,1983-08-22,288,104,0,1173.478507141773,1250,1250,1255.4144710313753,1183.405080625717,1228.6273982301984
Bob Hewitt,1982-04-04,265,30,0,1071.0691785090776,1250,1250,1094.6054428673776,1032.124091854581,1326.1234038266557
Zeljko Franulovic,1983-07-25,273,217,0,1331.0875138959645,1250,1250,1258.486393404256,1320.3847387142653,1250.0
Bill Scanlon,1989-08-14,30,482,0,1425.02096024916,1250,1250,1344.164324677327,1331.128762197878,1350.193404325336
John Austin,1986-02-24,1,166,0,1331.697748840049,1250,1250,1383.6672110015868,1289.4152393305906,1157.0231427221793
Tom Leonard,1982-05-03,262,62,0,1334.399477923822,1250,1250,1301.6018751624836,1143.3726404823371,1253.4652205544414
Ismail El Shafei,1982-06-14,1,86,0,1266.7659264108574,1250,1250,1252.7432442696288,1239.9124615994547,1196.363352884588
John Lloyd,1986-06-23,45,268,0,1544.4611891596737,1250,1250,1398.369065599746,1343.319591179734,1281.3906770597694
Vladimir Zednik,1980-03-10,5,52,0,1183.3224444640932,1250,1250,1129.8947290517408,1294.1584072264382,1217.0354766484677
Kjell Johansson,1982-02-08,8,123,0,1407.4747621107592,1250,1250,1268.9054852124052,1407.6906137194842,1250.0
Bernard Fritz,1984-04-09,14,157,0,1364.628225252614,1250,1250,1276.9005714968116,1351.986643812437,1205.5745532837284
Tenny Svensson,1982-02-15,266,50,0,1138.53451089923,1250,1250,1195.6146049328138,1087.7675218310783,1250.0
John Bartlett,1979-10-22,7,16,0,1085.4587412755343,1250,1250,1180.0014038711972,1116.5613224170618,1250.0
Harry Fritz,1982-01-15,1,31,0,1122.4938811830973,1250,1250,1210.254759177878,1103.0778580293056,1201.2709726128353
Jean Baptiste Chanfreau,1979-10-29,21,8,0,1215.2597999441664,1250,1250,1200.5258123568594,1251.500312515787,1250.0
John Feaver,1984-06-25,202,124,0,1135.6895319008229,1250,1250,1202.054370904561,1128.9418032549665,1059.802506823277
Jurgen Fassbender,1980-05-05,27,39,0,1205.4589284972844,1250,1250,1211.1034400009887,1161.1816653347978,1250.0
Georges Goven,1985-01-21,283,145,0,1253.6071183110403,1250,1250,1206.52628895098,1240.8984904133006,1228.6636104223255
Francois Jauffret,1981-08-10,293,28,0,1100.6498985425003,1250,1250,1250.0,1094.9187919945614,1250.0
Patrice Dominguez,1981-05-25,18,80,0,1308.2150301094057,1250,1250,1298.341189858505,1318.2588874727114,1251.4494368762391
Eric Deblicker,1982-08-15,289,105,0,1267.4661478862186,1250,1250,1275.0137155512432,1242.1429141706817,1247.186464370875
Nicola Spear,1981-04-27,285,16,0,1086.1906968112348,1250,1250,1250.0,1066.6669147647315,1250.0
Vijay Amritraj,1993-01-04,10,423,0,1470.2040498829763,1250,1250,1408.3245615511094,1373.0864873211774,1358.8246678544542
Tony Roche,1980-10-13,24,45,0,1435.9880732410759,1250,1250,1238.164890135339,1243.7081112022781,1415.5225180607465
Richard Lewis,1984-06-25,179,125,0,1182.1945612794536,1250,1250,1227.104005610877,1118.3523972789278,1170.96097298871
Mansour Bahrami,1997-04-04,2,124,0,1299.4690146093387,1250,1250,1175.81759094941,1263.9778629067334,1250.0
Zoltan Ilin,1981-06-12,1,19,0,1216.0792700710426,1250,1250,1186.0522127492895,1227.5431366127277,1250.0
Peter Elter,1987-07-27,272,274,0,1372.2495611995926,1250,1250,1243.4722011310473,1354.6617482821996,1239.80093590283
Ulrich Pinner,1984-07-09,258,177,0,1346.819303333451,1250,1250,1286.116546592608,1324.2600641785975,1250.0
Bernard Boileau,1986-08-11,295,132,0,1328.140342190836,1250,1250,1279.9765809389678,1306.629186863094,1224.1452401033328
Peter Szoke,1980-12-15,20,13,0,1184.3919667114724,1250,1250,1250.0,1164.6907582916492,1250.0
Hans Kary,1984-03-05,278,132,0,1268.4271177897194,1250,1250,1277.2633824590441,1220.8151988549635,1202.0980780330465
Peter Feigl,1985-08-05,6,251,0,1361.0405877854023,1250,1250,1295.881730970667,1333.9951812917107,1323.6242794414015
Dragan Savic,1978-03-17,1,2,0,1354.6734213892669,1250,1250,1250.0,1250.0,1250.0
Hans Gildemeister,1987-07-13,7,336,0,1454.1208300563242,1250,1250,1174.1285453267953,1454.616539801939,1238.3975755867536
Czeslaw Dobrowolski,1981-06-12,2,4,0,1107.0683564857993,1250,1250,1250.0,1108.9843017323344,1250.0
Jeff Borowiak,1986-07-21,282,186,0,1367.1523041307105,1250,1250,1270.731650979575,1382.8298876663875,1308.1594990557687
Gianni Ocleppo,1987-04-20,12,248,0,1412.1842583112123,1250,1250,1391.0113402550983,1319.6471270577463,1197.6708034680723
Adriano Panatta,1983-07-18,15,265,0,1419.0200178092678,1250,1250,1293.958709079302,1421.5451442346512,1288.7494731309737
Billy Martin,1982-11-15,23,154,0,1301.0190356373855,1250,1250,1242.8883502158383,1302.8995051441414,1253.8426044973612
Ashok Amritraj,1980-06-02,242,14,0,999.3417999790997,1250,1250,1106.7289096999052,1134.5656881462571,1147.9043935737413
Guillermo Vilas,1992-11-23,11,699,0,1338.4394385038393,1250,1250,1394.8994173982453,1320.1553128745513,1484.786630869111
Ion Tiriac,1979-02-26,277,16,0,1070.0181713134994,1250,1250,1194.8018278906259,1114.1782190852832,1165.8573179972266
Andrew Pattison,1983-05-16,280,178,0,1333.06432725884,1250,1250,1307.6904829592856,1261.8951488823668,1239.8454560876016
Yannick Noah,1996-02-12,7,681,0,1646.5140949976985,1250,1250,1625.8290632922547,1710.213199345629,1275.4636049280894
Paul Avis,1981-08-17,19,7,0,1158.2562896945547,1250,1250,1147.125935937562,1250.0,1250.0
Pascal Portes,1985-06-10,18,232,0,1407.6253923384259,1250,1250,1406.1844911539197,1303.7328256081694,1237.1798568490751
Andre Zietsmann,1980-04-08,11,5,0,1137.3621588314447,1250,1250,1098.0860766848155,1250.0,1250.0
Mike Fishbach,1982-07-26,258,33,0,1075.5155107817761,1250,1250,1174.0066982092512,1057.2617666192336,1202.925947833731
Patrick Proisy,1981-10-26,10,98,0,1252.8638194001717,1250,1250,1231.4408168976522,1256.7402535920867,1250.0
Victor Pecci,1990-03-30,2,482,0,1491.761253332106,1250,1250,1336.9684081111498,1465.1917225787795,1340.6108575837688
Paolo Bertolucci,1983-06-13,277,148,0,1352.6704866600085,1250,1250,1245.901907115836,1335.1593407027578,1250.0
Ricardo Ycaza,1985-08-02,4,166,0,1327.3019371207274,1250,1250,1078.767521196442,1372.426309290572,1198.0641925791567
Ray Ruffels,1980-01-07,270,15,0,1060.7452419337133,1250,1250,1207.1911420614083,1304.256374404591,1079.6475093244812
Paul Kronk,1988-09-19,275,150,0,1288.0836203007232,1250,1250,1243.0810437279192,1243.861636935767,1290.3251813508064
Butch Walts,1984-07-16,3,207,0,1414.4103084282046,1250,1250,1305.8867373109279,1269.1369879696915,1217.5713745364378
Ferdi Taygan,1983-10-10,15,170,0,1311.3397357477315,1250,1250,1235.2743386963311,1217.2434936816271,1198.0759891053465
Trey Waltke,1984-01-16,286,195,0,1332.7360865313633,1250,1250,1306.5663318248307,1240.1499394546852,1251.2083035769276
Carlos Kirmayr,1987-07-27,289,375,0,1416.48981562999,1250,1250,1327.1879482880431,1390.2982413287612,1233.3599142383134
Jose Luis Clerc,1995-02-27,5,528,0,1601.6709156553557,1250,1250,1477.7971845378481,1616.293866608484,1296.8082429670244
Pavel Hutka,1982-07-26,286,83,0,1278.9188268332477,1250,1250,1221.2708918969893,1311.4579488015015,1217.097614239886
Jean Louis Haillet,1983-11-21,14,78,0,1166.8162822632253,1250,1250,1217.518016975573,1179.0890616375436,1250.0
B Newman,1978-04-30,24,2,0,1271.5017562594571,1250,1250,1243.9176708386974,1250.0,1250.0
Pancho Walthall,1979-04-09,4,5,0,1203.9306123301785,1250,1250,1278.2786780000752,1175.8979036377386,1250.0
Greg Halder,1980-08-11,272,27,0,1064.8652184836585,1250,1250,1176.0243751420926,1112.2129336044236,1152.2069491417274
Bruce Manson,1985-05-13,271,296,0,1381.5650042963298,1250,1250,1363.9373583330294,1360.6955126211953,1194.2276080117033
Antonio Munoz,1981-10-05,11,63,0,1235.0481482818386,1250,1250,1199.1846310567628,1195.1176811307157,1223.2744803758128
Klaus Eberhard,1986-07-14,260,139,0,1239.5869128278048,1250,1250,1169.2614588664235,1245.5139882421322,1231.8050033815134
Birger Andersson,1980-07-14,19,26,0,1289.1936094481061,1250,1250,1174.2369872507793,1294.2461596724738,1250.0
Patricio Cornejo,1978-12-04,277,22,0,1155.9881774163823,1250,1250,1250.0,1139.2765474779856,1250.0
Stanislav Birner,1989-04-10,275,275,0,1312.5634043631435,1250,1250,1339.0045946669493,1322.5398316128885,1190.156682792805
Lito Alvarez,1981-03-23,2,31,0,1068.2158310587947,1250,1250,1157.5338447114364,1096.6399506272298,1250.0
Angel Gimenez,1984-10-01,26,188,0,1347.7460948351352,1250,1250,1214.7359396418394,1361.952297360635,1183.6419675397713
Jean Francois Caujolle,1982-05-31,271,89,0,1313.740782377311,1250,1250,1284.1902992164826,1316.8584620823983,1192.4269733855638
Ivan Molina,1982-08-15,272,84,0,1224.15990141916,1250,1250,1219.6891729129004,1241.2281891200842,1250.0
Ricardo Cano,1984-04-30,272,195,0,1338.4351750870594,1250,1250,1280.040790761653,1332.1975292821826,1250.0
Belus Prajoux,1986-10-27,270,138,0,1263.5073791246482,1250,1250,1136.3886969334715,1309.2390377086517,1201.040063271199
Christophe Freyss,1985-02-25,272,169,0,1289.2283243202817,1250,1250,1097.6159918306007,1319.5049341858517,1263.9960433016283
Nikola Pilic,1978-07-17,1,9,0,1058.863971109113,1250,1250,1250.0,1079.378582920468,1250.0
Rolf Gehring,1986-03-03,285,237,0,1405.8303932329893,1250,1250,1272.3312162100563,1427.0466641920023,1235.3847113336403
Gilles Moretton,1984-03-26,279,170,0,1413.8715831396648,1250,1250,1339.8596245666588,1346.6378260839933,1195.997326690326
Alejandro Pierola,1984-02-06,277,124,0,1225.9210952422136,1250,1250,1250.0,1240.3037177917051,1250.0
Werner Zirngibl,1982-05-17,10,90,0,1394.3628129339177,1250,1250,1206.8522427776215,1366.8095603930944,1250.0
Javier Soler,1984-10-01,8,43,0,1253.4559594072316,1250,1250,1126.7315511280892,1276.4889237624557,1250.0
Louk Sanders,1982-11-06,4,127,0,1205.3565260371327,1250,1250,1199.1623330558925,1208.8508897596014,1161.8373375568708
Brian Fairlie,1979-04-16,17,30,0,1194.6637371031827,1250,1250,1128.0032284782571,1108.656311644756,1238.3938919927316
Rohun Beven,1980-09-08,16,16,0,1115.05065476645,1250,1250,1096.5959250468552,1113.3177238287913,1263.7814021667689
David Schneider,1984-04-02,274,149,0,1245.403809659455,1250,1250,1188.709882767882,1204.8858969969406,1236.0758330320027
John Joyce,1978-07-23,269,7,0,1103.0437288108649,1250,1250,1211.288221715764,1149.5126495948964,1250.0
Francisco Gonzalez,1989-02-03,5,297,0,1280.3398157101076,1250,1250,1231.6899208332281,1240.0284807491903,1256.1641306470217
Keith Richardson,1979-12-03,265,66,0,1256.7314231822568,1250,1250,1225.8765028449259,1286.450223297435,1336.704086469519
John Sadri,1987-07-06,11,446,0,1466.7869362465556,1250,1250,1371.3968368910207,1411.0135507093678,1351.5011879366846
Warren Maher,1983-11-29,245,124,0,1255.6104156839779,1250,1250,1240.0204334058135,1145.4198416402999,1243.9396850456685
Willem Prinsloo,1981-09-07,281,60,0,1125.438256585545,1250,1250,1196.4484698998058,1202.3554995266484,1255.5578546494833
Alvin Gardiner,1981-12-06,270,64,0,1051.98407570506,1250,1250,1145.500195332576,1058.942634901161,1139.3117293347061
Dick Bohrnstedt,1978-12-26,26,30,0,1207.886166002546,1250,1250,1225.1236716326873,1365.7515358830112,1172.7725966007677
Eric Friedler,1980-08-18,37,50,0,1255.4147990025522,1250,1250,1267.1854839312455,1273.9882336931532,1171.3983747101506
Ramiro Benavides,1987-08-03,285,156,0,1156.1367374945114,1250,1250,1177.433555199084,1149.26825841268,1192.6054312550707
Rejean Genois,1983-03-04,5,58,0,1285.9936079812305,1250,1250,1333.9949089497231,1218.4939897897352,1278.8586212729085
Tim Clements,1980-01-07,274,14,0,1067.130443991032,1250,1250,1145.154096174759,1128.3579773213505,1175.8429205034215
Brad Coleman,1978-09-25,276,6,0,1250.1990095847063,1250,1250,1271.9554287968583,1250.0,1250.0
Geoff Martinez,1981-04-13,263,11,0,985.4045030072111,1250,1250,1109.761606275437,1058.3524961614128,1250.0
Richard Meyer,1984-11-26,235,163,0,1294.3100774184263,1250,1250,1175.6996593669878,1139.1560488896696,1278.9896463132966
Gonzalo Nunez,1982-10-18,276,22,0,1135.3353696224426,1250,1250,1296.059177630428,1083.9981607447635,1250.0
Juan Nunez,1981-11-23,9,56,0,1211.0955687813835,1250,1250,1070.6151717612918,1260.3028002551814,1224.3170670665943
Noel Phillips,1979-12-24,2,46,0,1159.093050304407,1250,1250,1276.6318261500685,1231.4642387451265,1121.098439192284
Walter Redondo,1983-04-25,285,38,0,1136.0604381235987,1250,1250,1204.536142127202,1079.9021910260797,1198.0945441826868
Javier Restrepo,1984-01-23,284,61,0,1217.6046570434576,1250,1250,1169.4294846569098,1273.8997471957775,1192.6054312550707
