Player,Matches,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
Sung Hee Park,83,0,-0.03585858585858592,0.31746031746031744,-0.2314814814814815
Marianne Werdel Witmeyer,71,0,0.012907608695652106,-0.4453125,-0.4453125
Natalia Zvereva,261,0,-0.025250836120401465,0.04567307692307687,0.12750836120401332
Silvia Farina Elia,580,-0.011627906976744207,-0.12269163992213405,0.14288931426641138,-0.10619221070327822
Judith Wiesner,139,0,-0.048556149732620346,-0.032172869147659044,0.1992156862745098
Shaun Stafford,40,0,0.05263157894736836,-0.04761904761904756,0.4285714285714286
Kyoko Nagatsuka,53,0,0.07070707070707072,0.12169312169312163,-0.36904761904761907
Martina Hingis,651,-0.062037351443123945,-0.012215563951014752,0.014549883443778056,-0.05701373196593085
Sandra Cacic,113,0,0.21592539454806303,-0.448780487804878,0.102439024390244
Amy Frazier,448,0.044303797468354444,0.0780437044745057,-0.23003701745108418,-0.16625310173697272
Anke Huber,386,-0.023271005144116952,-0.03502134908519727,0.029578471064539036,0.17206477732793513
Nicole Bradtke,61,0,-0.016129032258064502,-0.18975332068311201,0.31182795698924726
Yayuk Basuki,163,0,0.024042527485804044,-0.33230926779313885,0.259744623655914
Dally Randriantefy,116,0,-0.09335649153278336,0.2030779524924724,-1.0
Mary Pierce,486,-0.14713742419570364,-0.013798701298701421,0.01958041958041945,0.01958041958041945
Lindsay Davenport,776,-0.10347262809273328,0.008062647134162049,0.00032226877215602023,-0.031082301684288827
Wiltrud Probst,49,0,0.0888888888888888,0.16666666666666674,-0.3466666666666667
Miriam Oremans,267,0,-0.1766190075693861,-0.10944340212632897,0.34378629500580726
Sandrine Testud,444,-0.019470899470899417,0.05372754972363003,-0.02272285880753544,-0.1326242674191448
Anna Smashnova,475,-0.041871921182266014,-0.08957321748019409,0.17500157559715146,-0.6317829457364341
Sarah Pitkowski Malcor,218,0,-0.11415873015873013,0.1246031746031746,-0.26722689075630246
Brenda Schultz Mccarthy,192,0,-0.015165031222123204,-0.12691194708557252,0.08474576271186418
Irina Spirlea,293,0,-0.10012285012285016,0.15117263056092844,0.008953168044077087
Yone Kamio,50,0,0.034482758620689724,-0.1428571428571429,0.0
Kristie Boogert,192,0,0.022831050228310446,-0.05185185185185193,0.06666666666666665
Veronika Martinek,40,0,-0.5918367346938775,0.1981566820276499,-1.0
Conchita Martinez,605,0.013584117032392817,-0.054299087125069256,0.11077525888609019,0.026319847838379706
Ai Sugiyama,757,0.020414312617702435,0.06454843597567295,-0.1265167870170476,-0.037094334433443454
Jolene Watanabe,71,0,0.07200929152148672,-0.5170068027210885,-0.4365079365079365
Lea Ghirardi,56,0,0.06666666666666665,0.08387096774193536,-1.0
Dominique Monami,279,0.023430962343096273,0.03279958677685957,-0.06060606060606055,-0.040520334928229595
Florencia Labat,194,0,0.10227272727272707,-0.00562169312169325,-0.056944444444444464
Shi Ting Wang,166,0,0.1279255096048988,-0.391941391941392,-0.543956043956044
Elena Likhovtseva,644,0.013843133339988656,-0.033466523730630526,0.03361027190332333,0.17761170297344564
Iva Majoli,377,-0.02641065830721001,-0.12199179327936116,0.10182507850635814,-0.06296603148301572
Meredith Mcgrath,54,0,-0.4193548387096775,-0.12903225806451613,0.3935483870967742
Mariaan De Swardt,113,0,-0.012237762237762295,-0.10848126232741617,0.1853146853146852
