tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2554.0,Auckland,Hardcourt outdoor,,A,20240102,11927277.0,3,R16,34.0,247791.0,,,Diane Parry,R,170.0,FRA,21,36067.0,3,,Lesia Tsurenko,R,174.0,UKR,35,,2.0,6.0,6.0,0.0,0.0,2.0,1,75,42,29,18,13,3,6,6.0,4.0,1.0,0.0,0.0,0.0,3,64,41,25,15,12,5,9,53.0,,59,
2554.0,Auckland,Hardcourt outdoor,,A,20240102,11927267.0,3,R16,30.0,105463.0,5,,Marie Bouzkova,R,180.0,CZE,25,230628.0,,WC,Amanda Anisimova,R,180.0,USA,22,,6.0,6.0,0.0,0.0,0.0,0.0,0,37,30,23,6,7,2,2,0.0,1.0,0.0,0.0,0.0,1.0,3,36,24,11,3,6,4,9,40.0,,189,
2554.0,Auckland,Hardcourt outdoor,,A,20240102,11927274.0,3,R16,36.0,207979.0,4,,Emma Navarro,R,170.0,USA,23,262594.0,,,Elina Avanesyan,R,172.0,RUS,21,,6.0,6.0,0.0,0.0,0.0,1.0,2,56,37,28,7,8,2,3,1.0,2.0,0.0,0.0,0.0,0.0,3,56,31,16,10,7,3,8,17.0,,77,
2554.0,Auckland,Hardcourt outdoor,,A,20240102,11927271.0,3,R16,64.0,223148.0,,,Xiyu Wang,L,182.0,CHN,23,227431.0,6,,Xinyu Wang,R,182.0,CHN,22,,6.0,3.0,7.0,0.0,0.0,6.0,4,95,66,49,15,15,5,8,3.0,6.0,6.0,0.0,0.0,2.0,5,104,65,44,19,15,6,9,54.0,,42,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925975.0,3,R32,79.0,45584.0,15,,Lin Zhu,R,173.0,CHN,30,58515.0,,,Danielle Collins,R,178.0,USA,30,,1.0,6.0,7.0,0.0,0.0,6.0,9,93,62,38,11,14,2,9,6.0,3.0,6.0,0.0,0.0,9.0,1,104,63,34,21,14,9,15,61.0,,11,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925980.0,3,R32,32.0,186312.0,2,,Elena Rybakina,R,184.0,KAZ,25,232651.0,,Q,Olivia Gadecki,R,,AUS,22,,6.0,6.0,0.0,0.0,0.0,4.0,1,53,36,29,9,9,3,3,4.0,1.0,0.0,0.0,0.0,0.0,2,54,36,24,6,8,2,5,4.0,,173,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925978.0,3,R32,33.0,406776.0,,,Mirra Andreeva,R,175.0,RUS,17,128584.0,4,,Liudmila Samsonova,R,182.0,RUS,25,,6.0,6.0,0.0,0.0,0.0,2.0,3,44,28,22,9,7,2,2,2.0,1.0,0.0,0.0,0.0,4.0,7,49,21,15,7,8,2,7,23.0,,15,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925976.0,3,R32,41.0,78551.0,13,,Elise Mertens,R,179.0,BEL,28,23158.0,,,Sloane Stephens,R,170.0,USA,31,,2.0,6.0,6.0,0.0,0.0,5.0,4,63,37,26,14,12,2,5,6.0,1.0,3.0,0.0,0.0,1.0,2,66,51,33,4,12,3,8,33.0,,50,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925994.0,3,R32,49.0,64496.0,3,,Jelena Ostapenko,R,177.0,LVA,27,44309.0,,,Camila Giorgi,R,168.0,ITA,32,,6.0,6.0,0.0,0.0,0.0,9.0,4,49,28,25,9,9,1,2,1.0,4.0,0.0,0.0,0.0,4.0,5,60,32,17,12,8,5,9,14.0,,116,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925998.0,3,R32,43.0,254282.0,,Q,Julia Riera,U,,ARG,22,67759.0,7,,Ekaterina Alexandrova,R,175.0,RUS,29,,6.0,6.0,0.0,0.0,0.0,4.0,2,75,72,45,1,10,8,9,3.0,4.0,0.0,0.0,0.0,0.0,6,53,47,31,0,9,4,7,106.0,,22,
