player_name,player_id,tourney_date,aces,dfs,svpt,firstin,firstwon,secondwon,sv_gms,bp_saved,bp_faced,vaces,vdfs,retpt,vfirstin,vfirstwon,vsecondwon,win,matches,aces_avg,dfs_avg,svpt_avg,firstin_avg,firstwon_avg,secondwon_avg,sv_gms_avg,bp_saved_avg,bp_faced_avg,vaces_avg,vdfs_avg,retpt_avg,vfirstin_avg,vfirstwon_avg,vsecondwon_avg,win_avg
Andreas Seppi,104312,2022-02-07,115,49,1611,924,643,334,257,94,162,146,52,1637,1019,721,316,7,18,6.388888888888889,2.7222222222222223,89.5,51.333333333333336,35.72222222222222,18.555555555555557,14.277777777777779,5.222222222222222,9.0,8.11111111111111,2.888888888888889,90.94444444444444,56.611111111111114,40.05555555555556,17.555555555555557,0.3888888888888889
Andreas Seppi,104312,2022-02-07,118,50,1695,974,677,351,270,98,169,151,52,1713,1065,759,331,7,19,6.2105263157894735,2.6315789473684212,89.21052631578948,51.26315789473684,35.63157894736842,18.473684210526315,14.210526315789474,5.157894736842105,8.894736842105264,7.947368421052632,2.736842105263158,90.15789473684211,56.05263157894737,39.94736842105263,17.42105263157895,0.3684210526315789
Andreas Seppi,104312,2022-02-14,124,54,1770,1014,701,369,281,101,175,154,55,1773,1101,781,341,8,20,6.2,2.7,88.5,50.7,35.05,18.45,14.05,5.05,8.75,7.7,2.75,88.65,55.05,39.05,17.05,0.4
Andreas Seppi,104312,2022-02-14,126,54,1844,1049,721,390,291,103,181,156,58,1852,1148,814,357,8,21,6.0,2.5714285714285716,87.80952380952381,49.95238095238095,34.333333333333336,18.571428571428573,13.857142857142858,4.904761904761905,8.619047619047619,7.428571428571429,2.761904761904762,88.19047619047619,54.666666666666664,38.76190476190476,17.0,0.38095238095238093
Andrej Martin,105413,2021-07-19,0,5,111,84,48,11,14,14,20,0,3,80,49,27,15,1,1,0.0,5.0,111.0,84.0,48.0,11.0,14.0,14.0,20.0,0.0,3.0,80.0,49.0,27.0,15.0,1.0
Andrej Martin,105413,2021-07-19,0,5,159,115,60,19,22,22,34,1,5,132,87,52,22,1,2,0.0,2.5,79.5,57.5,30.0,9.5,11.0,11.0,17.0,0.5,2.5,66.0,43.5,26.0,11.0,0.5
Andrej Martin,105413,2022-01-31,1,6,220,154,85,30,32,22,37,2,6,187,129,82,31,1,3,0.3333333333333333,2.0,73.33333333333333,51.333333333333336,28.333333333333332,10.0,10.666666666666666,7.333333333333333,12.333333333333334,0.6666666666666666,2.0,62.333333333333336,43.0,27.333333333333332,10.333333333333334,0.3333333333333333
Andrey Kuznetsov,105723,2022-05-23,5,6,120,81,50,12,17,2,10,1,7,110,78,43,19,0,1,5.0,6.0,120.0,81.0,50.0,12.0,17.0,2.0,10.0,1.0,7.0,110.0,78.0,43.0,19.0,0.0
Andrey Rublev,126094,2021-06-14,8,2,62,40,33,14,11,0,0,8,2,67,51,36,6,1,1,8.0,2.0,62.0,40.0,33.0,14.0,11.0,0.0,0.0,8.0,2.0,67.0,51.0,36.0,6.0,1.0
Andrey Rublev,126094,2021-06-14,15,2,118,73,61,27,21,0,1,17,3,141,105,81,17,1,2,7.5,1.0,59.0,36.5,30.5,13.5,10.5,0.0,0.5,8.5,1.5,70.5,52.5,40.5,8.5,0.5
Andrey Rublev,126094,2021-06-14,21,2,196,110,88,54,34,1,3,25,6,226,147,113,34,2,3,7.0,0.6666666666666666,65.33333333333333,36.666666666666664,29.333333333333332,18.0,11.333333333333334,0.3333333333333333,1.0,8.333333333333334,2.0,75.33333333333333,49.0,37.666666666666664,11.333333333333334,0.6666666666666666
Andrey Rublev,126094,2021-06-14,30,2,253,143,115,71,44,1,3,32,8,291,192,146,43,3,4,7.5,0.5,63.25,35.75,28.75,17.75,11.0,0.25,0.75,8.0,2.0,72.75,48.0,36.5,10.75,0.75
Andrey Rublev,126094,2021-06-14,34,2,312,181,142,85,54,2,5,38,10,359,228,171,59,4,5,6.8,0.4,62.4,36.2,28.4,17.0,10.8,0.4,1.0,7.6,2.0,71.8,45.6,34.2,11.8,0.8
Andrey Rublev,126094,2021-06-28,40,4,385,228,181,101,68,2,6,54,12,431,277,202,68,5,6,6.666666666666667,0.6666666666666666,64.16666666666667,38.0,30.166666666666668,16.833333333333332,11.333333333333334,0.3333333333333333,1.0,9.0,2.0,71.83333333333333,46.166666666666664,33.666666666666664,11.333333333333334,0.8333333333333334
Andrey Rublev,126094,2021-06-28,51,6,489,293,232,122,86,5,11,61,19,545,344,245,89,6,7,7.285714285714286,0.8571428571428571,69.85714285714286,41.857142857142854,33.142857142857146,17.428571428571427,12.285714285714286,0.7142857142857143,1.5714285714285714,8.714285714285714,2.7142857142857144,77.85714285714286,49.142857142857146,35.0,12.714285714285714,0.8571428571428571
Andrey Rublev,126094,2021-06-28,64,11,630,370,288,156,106,12,20,69,25,681,429,301,110,7,8,8.0,1.375,78.75,46.25,36.0,19.5,13.25,1.5,2.5,8.625,3.125,85.125,53.625,37.625,13.75,0.875
Andrey Rublev,126094,2021-06-28,68,12,747,449,339,175,128,18,33,78,35,800,497,361,133,7,9,7.555555555555555,1.3333333333333333,83.0,49.888888888888886,37.666666666666664,19.444444444444443,14.222222222222221,2.0,3.6666666666666665,8.666666666666666,3.888888888888889,88.88888888888889,55.22222222222222,40.111111111111114,14.777777777777779,0.7777777777777778
Andrey Rublev,126094,2021-08-09,81,16,818,497,378,188,139,20,36,83,39,870,533,390,148,8,10,8.1,1.6,81.8,49.7,37.8,18.8,13.9,2.0,3.6,8.3,3.9,87.0,53.3,39.0,14.8,0.8
Andrey Rublev,126094,2021-08-09,91,20,892,541,415,204,151,26,43,103,40,946,581,427,166,8,11,8.272727272727273,1.8181818181818181,81.0909090909091,49.18181818181818,37.72727272727273,18.545454545454547,13.727272727272727,2.3636363636363638,3.909090909090909,9.363636363636363,3.6363636363636362,86.0,52.81818181818182,38.81818181818182,15.090909090909092,0.7272727272727273
Andrey Rublev,126094,2021-08-16,93,25,977,601,459,212,164,30,50,111,43,1046,635,463,188,9,12,7.75,2.0833333333333335,81.41666666666667,50.083333333333336,38.25,17.666666666666668,13.666666666666666,2.5,4.166666666666667,9.25,3.5833333333333335,87.16666666666667,52.916666666666664,38.583333333333336,15.666666666666666,0.75
Andrey Rublev,126094,2021-08-16,106,27,1051,645,496,227,177,32,53,120,51,1135,684,499,206,10,13,8.153846153846153,2.076923076923077,80.84615384615384,49.61538461538461,38.15384615384615,17.46153846153846,13.615384615384615,2.4615384615384617,4.076923076923077,9.23076923076923,3.923076923076923,87.3076923076923,52.61538461538461,38.38461538461539,15.846153846153847,0.7692307692307693
Andrey Rublev,126094,2021-08-16,114,29,1133,691,536,237,189,33,57,129,58,1211,733,530,218,11,14,8.142857142857142,2.0714285714285716,80.92857142857143,49.357142857142854,38.285714285714285,16.928571428571427,13.5,2.357142857142857,4.071428571428571,9.214285714285714,4.142857142857143,86.5,52.357142857142854,37.857142857142854,15.571428571428571,0.7857142857142857
Andrey Rublev,126094,2021-08-16,125,29,1188,730,562,239,198,38,67,135,62,1250,761,556,223,11,15,8.333333333333334,1.9333333333333333,79.2,48.666666666666664,37.46666666666667,15.933333333333334,13.2,2.533333333333333,4.466666666666667,9.0,4.133333333333334,83.33333333333333,50.733333333333334,37.06666666666667,14.866666666666667,0.7333333333333333
Andrey Rublev,126094,2021-08-16,136,34,1266,778,602,255,212,42,72,146,67,1336,807,590,243,12,16,8.5,2.125,79.125,48.625,37.625,15.9375,13.25,2.625,4.5,9.125,4.1875,83.5,50.4375,36.875,15.1875,0.75
