tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2023-0891,Pune,Hard,32,A,20230102,286,3,R16,93,122298,2,,Botic Van De Zandschulp,R,188,NED,27,207925,,Q,Flavio Cobolli,R,,ITA,20,7,6,,,,2,3,64,41,30,13,11,4,6,5,4,,,,5,0,59,38,24,9,11,0,4,35,171
2023-0891,Pune,Hard,32,A,20230102,287,3,R16,91,109739,,Q,Maximilian Marterer,L,191,GER,27,111513,,,Laslo Djere,R,188,SRB,27,7,6,,,,11,2,63,45,34,14,10,0,0,6,2,,,,6,3,66,40,30,13,10,7,9,159,70
2023-0891,Pune,Hard,32,A,20230102,288,3,R16,80,126127,,,Benjamin Bonzi,R,185,FRA,26,200325,3,,Emil Ruusuvuori,R,188,FIN,23,6,7,,,,5,2,65,47,38,9,10,1,1,1,6,,,,5,2,50,36,27,7,9,0,2,60,40
2023-0891,Pune,Hard,32,A,20230102,289,3,R16,130,105936,6,,Filip Krajinovic,R,185,SRB,30,111581,,,Michael Mmoh,R,188,USA,24,2,6,6,,,9,0,93,67,47,12,14,5,8,6,3,4,,,4,1,72,42,29,19,13,0,3,54,113
2023-0891,Pune,Hard,32,A,20230102,290,3,R16,129,106234,8,,Aslan Karatsev,R,185,RUS,29,126646,,,Tim Van Rijthoven,R,188,NED,25,7,7,,,,9,6,88,57,47,16,12,1,2,6,6,,,,10,6,91,55,44,19,12,7,8,59,111
2023-0891,Pune,Hard,32,A,20230102,291,3,R16,132,124079,,,Pedro Martinez,R,185,ESP,25,202104,4,,Sebastian Baez,R,170,ARG,22,3,6,6,,,0,3,77,54,42,10,12,6,7,6,1,3,,,5,1,85,66,43,6,13,6,10,62,43
2023-0891,Pune,Hard,32,A,20230102,292,3,R16,75,134868,,,Tallon Griekspoor,R,188,NED,26,106065,,,Marco Cecchinato,R,185,ITA,30,6,6,,,,7,2,54,35,29,14,10,0,0,4,4,,,,3,3,58,36,25,12,10,3,5,95,101
2023-0891,Pune,Hard,32,A,20230102,293,3,R16,122,105227,1,,Marin Cilic,R,198,CRO,34,106148,,,Roberto Carballes Baena,R,183,ESP,29,6,3,6,,,16,3,76,54,45,9,13,2,3,3,6,1,,,3,3,74,40,26,18,12,4,7,17,74
2023-0891,Pune,Hard,32,A,20230102,294,3,QF,67,122298,2,,Botic Van De Zandschulp,R,188,NED,27,109739,,Q,Maximilian Marterer,L,191,GER,27,6,6,,,,3,1,44,34,29,7,9,0,0,4,2,,,,1,1,51,37,22,7,9,2,5,35,159
2023-0891,Pune,Hard,32,A,20230102,295,3,QF,125,126127,,,Benjamin Bonzi,R,185,FRA,26,105936,6,,Filip Krajinovic,R,185,SRB,30,7,6,,,,7,0,77,46,30,15,11,2,5,6,4,,,,6,3,90,50,29,20,11,10,14,60,54
2023-0891,Pune,Hard,32,A,20230102,296,3,QF,73,106234,8,,Aslan Karatsev,R,185,RUS,29,124079,,,Pedro Martinez,R,185,ESP,25,6,6,,,,13,3,58,40,33,6,8,5,5,1,2,,,,1,3,44,26,15,6,7,4,8,59,62
2023-0891,Pune,Hard,32,A,20230102,298,3,SF,149,126127,,,Benjamin Bonzi,R,185,FRA,26,122298,2,,Botic Van De Zandschulp,R,188,NED,27,7,6,6,,,10,3,101,71,54,16,16,0,2,6,7,1,,,9,3,106,69,49,17,15,7,11,60,35
2023-2843,Adelaide 1,Hard,32,A,20230102,295,3,QF,86,200624,,,Sebastian Korda,R,196,USA,22,206173,6,,Jannik Sinner,R,188,ITA,21,7,6,,,,5,1,52,30,25,12,9,3,4,5,1,,,,8,3,53,34,23,6,10,4,9,33,15
2023-2843,Adelaide 1,Hard,32,A,20230102,282,3,R32,120,133430,7,,Denis Shapovalov,L,185,CAN,23,208014,,Q,Rinky Hijikata,U,,AUS,21,2,6,6,,,7,9,77,42,30,18,13,5,8,6,4,3,,,2,5,93,58,43,12,14,8,12,18,164
2023-2843,Adelaide 1,Hard,32,A,20230102,297,3,QF,115,104925,1,,Novak Djokovic,R,188,SRB,35,133430,7,,Denis Shapovalov,L,185,CAN,23,6,6,,,,4,3,70,40,31,16,10,3,4,3,4,,,,6,7,72,38,25,14,9,5,8,5,18
2023-9900,United Cup,Hard,18,A,20230102,255,3,RR,,144817,,,Marc Andrea Huesler,L,196,SUI,26,207608,,,Timofey Skatov,R,173,RUS,21,4,6,6,,,6,1,99,67,48,16,14,6,7,6,3,3,,,4,2,88,61,41,13,14,4,7,56,142
