tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2361,Wimbledon,Grass,,G,20240703,12477654,5,R128,101,90798,,Q,Quentin Halys,R,191.0,FRA,27,197516,,,Christopher Eubanks,R,200.99999999999997,USA,28,,6,6,6,0,0,17,3,64,42,40,16,14,0,0,4,4,2,0,0,9,4,80,52,32,15,14,2,6,220,,62,
2361,Wimbledon,Grass,,G,20240703,12477657,3,R128,202,90080,21,,Karen Khachanov,R,198.0,RUS,28,60502,,,Aslan Karatsev,R,185.0,RUS,30,,6,6,7,2,0,15,4,118,86,72,16,18,5,5,3,7,6,0,0,4,5,127,81,61,22,17,4,6,22,,99,
2361,Wimbledon,Grass,,G,20240703,12458030,5,R64,118,235576,,,Brandon Nakashima,R,188.0,USA,22,87690,,,Jordan Thompson,R,183.0,AUS,30,,6,6,6,0,0,9,1,69,50,41,12,13,2,2,3,2,2,0,0,4,3,78,44,29,12,12,7,12,65,,40,
2361,Wimbledon,Grass,,G,20240703,12458031,5,R64,161,185388,16,,Ugo Humbert,L,188.0,FRA,26,102339,,,Botic Van De Zandschulp,R,191.0,NLD,28,,7,6,6,0,0,5,1,84,51,42,21,14,2,3,6,1,3,0,0,12,6,103,57,41,18,14,8,13,16,,97,
2361,Wimbledon,Grass,,G,20240703,12458036,5,R64,214,15434,,,Fabio Fognini,R,178.0,ITA,37,119248,8,,Casper Ruud,R,183.0,NOR,25,,6,7,6,6,0,8,10,170,95,68,37,22,11,13,4,5,7,3,0,15,2,133,81,58,29,21,3,8,94,,8,
2361,Wimbledon,Grass,,G,20240703,12458029,5,R64,147,101101,29,,Frances Tiafoe,R,188.0,USA,26,64580,,,Borna Coric,R,188.0,HRV,27,,7,6,6,0,0,10,3,85,52,45,16,14,3,4,6,1,3,0,0,6,1,91,58,34,19,14,5,10,29,,89,
2361,Wimbledon,Grass,,G,20240703,12458026,5,R64,209,163504,5,,Daniil Medvedev,R,198.0,RUS,28,88992,,,Alexandre Muller,R,183.0,FRA,27,,6,7,6,7,0,14,5,148,98,73,30,23,5,7,7,6,4,5,0,5,4,162,103,72,28,23,8,12,5,,102,
2361,Wimbledon,Grass,,G,20240703,12458027,5,R64,109,275923,3,,Carlos Alcaraz,R,183.0,ESP,21,124656,,,Aleksandar Vukic,R,188.0,AUS,28,,7,6,6,0,0,11,2,74,49,40,14,14,1,3,6,2,2,0,0,2,2,87,54,32,14,14,5,11,3,,69,
2361,Wimbledon,Grass,,G,20240703,12477698,5,R128,1282,124930,,,Roman Safiullin,R,185.0,RUS,26,221012,26,,Francisco Cerundolo,R,185.0,ARG,25,,6,3,7,6,6,11,3,148,100,76,29,26,7,10,7,6,5,3,4,13,8,179,109,78,33,26,14,19,44,,30,
2361,Wimbledon,Grass,,G,20240703,12477711,5,R128,1294,167370,,,Emil Ruusuvuori,R,188.0,FIN,25,63438,,,Mackenzie McDonald,R,178.0,USA,29,,7,4,5,7,6,14,6,183,122,86,32,27,4,8,6,6,7,6,3,14,1,170,117,84,31,28,4,8,87,,96,
2361,Wimbledon,Grass,,G,20240703,12477696,5,R128,1265,57703,,Q,Lucas Pouille,R,185.0,FRA,30,97231,,,Laslo Djere,R,188.0,SRB,29,,3,7,3,6,6,11,4,117,79,57,30,24,8,14,6,6,6,3,1,12,7,126,86,58,26,22,10,16,212,,51,
2361,Wimbledon,Grass,,G,20240703,12477708,5,R128,1297,63606,,,Arthur Rinderknech,R,196.0,FRA,28,15733,,,Kei Nishikori,R,178.0,JPN,34,,5,6,6,6,6,33,2,140,97,73,28,26,5,8,7,4,7,3,2,5,5,175,124,76,31,25,14,20,76,,401,
2361,Wimbledon,Grass,,G,20240703,12489994,5,R128,1312,238300,,,Tomas Machac,R,183.0,CZE,23,25838,,LL,David Goffin,R,180.0,BEL,33,,3,3,6,6,7,6,2,164,103,60,30,24,6,15,6,6,4,1,6,10,8,159,91,58,28,23,15,24,39,,83,
2361,Wimbledon,Grass,,G,20240703,12458033,5,R64,153,163480,23,,Alexander Bublik,R,196.0,KAZ,27,287803,,,Arthur Cazaux,R,183.0,FRA,21,,6,7,6,0,0,19,4,91,62,49,18,16,0,0,4,6,4,0,0,7,9,99,57,42,17,16,2,4,23,,98,
2361,Wimbledon,Grass,,G,20240703,12458035,5,R64,207,16720,,,Roberto Bautista Agut,R,183.0,ESP,36,104847,,,Lorenzo Sonego,R,191.0,ITA,29,,6,3,6,6,0,3,4,121,80,59,24,19,10,12,3,6,3,4,0,18,4,114,84,57,14,18,4,8,112,,54,
2361,Wimbledon,Grass,,G,20240703,12477706,5,R128,1291,102151,24,,Alejandro Tabilo,L,188.0,CHL,27,16375,,,Daniel Evans,R,175.0,GBR,34,,6,7,6,0,0,13,2,90,59,49,18,15,7,7,2,5,3,0,0,5,7,95,41,30,25,14,5,9,19,,60,
2361,Wimbledon,Grass,,G,20240703,12457865,5,R64,200,198592,,,Miomir Kecmanovic,R,183.0,SRB,24,122368,27,,Tallon Griekspoor,R,188.0,NLD,28,,4,7,1,6,6,15,2,138,85,65,31,23,8,12,6,6,6,2,3,17,9,155,91,65,32,23,12,16,52,,27,
